                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.7224,                 1.0796,                  1.572,                0.97104,                0.93333,                0.98237,                0.36986,                 1.7231,                 2.3462,                 1.9555,              0.0015644,              0.0015644,              0.0015644
                     36,                 1.6999,                0.98086,                 1.3969,                0.91668,                    0.8,                0.94045,                0.37766,                 1.6907,                 3.2889,                 1.7967,              0.0015512,              0.0015512,              0.0015512
                     37,                 1.6372,                 0.9859,                 1.4024,                0.90432,                    0.8,                0.93841,                0.36833,                 1.7044,                 3.3706,                 1.7068,               0.001538,               0.001538,               0.001538
                     38,                 1.6616,                0.98041,                 1.3579,                0.93558,                    0.8,                   0.92,                0.38221,                  1.754,                  2.711,                 1.7775,              0.0015248,              0.0015248,              0.0015248
                     39,                 1.7046,                0.92295,                 1.4519,                0.85443,                0.78354,                 0.8981,                0.39482,                 1.7422,                 2.0076,                 1.7394,              0.0015116,              0.0015116,              0.0015116
                     40,                 1.6324,                 1.0026,                 1.4508,                0.80712,                0.83797,                0.87611,                0.37547,                 1.9481,                 1.3912,                 1.9635,              0.0014984,              0.0014984,              0.0014984
                     41,                 1.7099,                 0.9219,                 1.3941,                0.86286,                0.84005,                0.83368,                 0.3884,                   1.76,                  1.343,                 1.8107,              0.0014852,              0.0014852,              0.0014852
                     42,                 1.8192,                0.95426,                 1.4298,                0.86891,                0.86667,                0.91891,                0.44187,                 1.7055,                 1.6115,                  1.746,               0.001472,               0.001472,               0.001472
                     43,                 1.7733,                0.92724,                  1.437,                0.87097,                0.93333,                0.88395,                0.36475,                 1.7801,                 2.6365,                 1.7929,              0.0014588,              0.0014588,              0.0014588
                     44,                 1.6832,                0.92236,                 1.4321,                0.86324,                0.84269,                0.86831,                0.35585,                 1.9939,                 1.7535,                  1.994,              0.0014456,              0.0014456,              0.0014456
                     45,                 1.7118,                 1.0462,                 1.3967,                 0.8657,                0.93333,                0.89473,                0.42103,                 1.8469,                 1.1443,                 1.8754,              0.0014324,              0.0014324,              0.0014324
                     46,                 1.6913,                 1.0333,                 1.5116,                0.97066,                0.93333,                0.98794,                  0.509,                 1.6709,                 1.0638,                 1.6981,              0.0014192,              0.0014192,              0.0014192
                     47,                 1.7014,                0.98263,                 1.3374,                 0.9148,                0.86667,                 0.9623,                0.52995,                 1.5773,                  1.042,                 1.6162,               0.001406,               0.001406,               0.001406
                     48,                 1.6158,                0.95903,                 1.3781,                0.76256,                0.85695,                 0.7609,                0.38576,                  1.635,                 1.1547,                 1.6833,              0.0013928,              0.0013928,              0.0013928
                     49,                  1.571,                 0.9082,                 1.3331,                0.81039,                0.86667,                0.80531,                0.34638,                 1.7838,                 1.2675,                 1.7611,              0.0013796,              0.0013796,              0.0013796
                     50,                  1.626,                 0.9355,                 1.3621,                0.78307,                    0.8,                0.83653,                 0.3612,                 1.8819,                 1.2507,                 1.8689,              0.0013664,              0.0013664,              0.0013664
                     51,                 1.5455,                0.88582,                 1.3114,                0.78773,                    0.8,                0.84037,                0.37559,                 1.8495,                 1.1798,                 1.8579,              0.0013532,              0.0013532,              0.0013532
                     52,                 1.6199,                0.91798,                 1.3266,                 0.7484,                0.79359,                0.70326,                0.28987,                 2.0717,                  1.162,                 2.0464,                0.00134,                0.00134,                0.00134
                     53,                 1.5305,                0.93122,                 1.3685,                0.68147,                0.85624,                0.72281,                0.27163,                  2.061,                 1.1154,                  2.016,              0.0013268,              0.0013268,              0.0013268
                     54,                 1.7224,                0.92246,                 1.3808,                0.82232,                0.92605,                 0.9403,                0.36519,                 1.8968,                 1.0376,                 1.8304,              0.0013136,              0.0013136,              0.0013136
                     55,                 1.5719,                0.91287,                 1.2976,                0.83192,                0.99038,                0.91133,                0.41651,                 1.7878,                0.98189,                 1.6964,              0.0013004,              0.0013004,              0.0013004
                     56,                 1.7361,                0.97267,                 1.4043,                0.94639,                      1,                  0.995,                0.39223,                  1.823,                 1.0344,                 1.7426,              0.0012872,              0.0012872,              0.0012872
                     57,                 1.6383,                  1.013,                 1.3886,                0.98515,                      1,                  0.995,                0.38165,                 1.8258,                 1.1157,                 1.7481,               0.001274,               0.001274,               0.001274
                     58,                 1.6613,                0.92446,                  1.321,                0.99346,                      1,                  0.995,                0.40671,                  1.745,                  1.106,                 1.6805,              0.0012608,              0.0012608,              0.0012608
                     59,                  1.501,                 0.9152,                 1.2937,                 0.9874,                      1,                  0.995,                0.45851,                 1.6445,                  1.038,                 1.6357,              0.0012476,              0.0012476,              0.0012476
                     60,                 1.5214,                0.90162,                 1.3546,                0.92526,                      1,                0.99125,                 0.5337,                 1.4994,                 0.9571,                 1.5472,              0.0012344,              0.0012344,              0.0012344
                     61,                 1.6276,                 0.8909,                 1.4064,                0.92332,                      1,                0.99125,                0.51901,                 1.5044,                0.94535,                   1.56,              0.0012212,              0.0012212,              0.0012212
                     62,                 1.6677,                0.97099,                 1.3882,                0.86141,                0.86667,                0.96356,                0.47186,                 1.6068,                0.95468,                 1.6042,               0.001208,               0.001208,               0.001208
                     63,                 1.5503,                0.86514,                 1.2533,                0.87558,                0.86667,                0.95678,                0.44367,                 1.6708,                 0.9723,                  1.626,              0.0011948,              0.0011948,              0.0011948
                     64,                 1.4291,                0.84821,                  1.214,                0.78305,                 0.9634,                0.95073,                 0.4395,                 1.7615,                 1.0509,                 1.6432,              0.0011816,              0.0011816,              0.0011816
                     65,                 1.5975,                0.96176,                 1.3338,                      1,                0.91843,                0.98794,                0.50068,                  1.732,                0.94617,                 1.6349,              0.0011684,              0.0011684,              0.0011684
                     66,                  1.637,                0.84922,                 1.3619,                0.93665,                0.98638,                0.99125,                0.50727,                 1.7203,                 0.8845,                 1.6085,              0.0011552,              0.0011552,              0.0011552
                     67,                 1.5804,                0.91492,                 1.3212,                0.86356,                      1,                0.98327,                 0.4792,                 1.7156,                 0.9125,                 1.5922,               0.001142,               0.001142,               0.001142
